English,System BG,Reference BG,en_idx,bg_idx,segment
***Electronically approved records are authenticated in the electronic document management system.,***Електронно одобрените записи са заверени в електронната система за управление на документи.,"*** Документите, одобрени по електронен път, са заверени в електронната система за управление на документи.",0,56,dp
"F-APP-GW-GAP-061-1, Rev. 3","F-APP-GW-GAP-061-1, Рев 3","F-APP-GW-GAP-061-1, Ред. 3",1,57,dp
Effective Date: SEPT-4-2020,Дата на влизане в сила: SEPT-4-2020,Дата на влизане в сила: 4 септември 2020 г.,2,58,dp
APP-GW-G0R-004,APP-GW-G0R-004,APP-GW-G0R-004,3,59,dp
Revision A,Преразглеждане А,Редакция А,4,60,dp
"Compliance Assessment of the AP1000® Plant to IAEA Safety Standards No. GSR Part 3, Radiation Protection and Safety of Radiation Sources: International Basic Safety Standards","Оценка на съответствието на инсталацията AP1000® със стандартите за безопасност на МААЕ No GSR Част 3, Радиационна защита и безопасност на източниците на радиация: Международни основни стандарти за безопасност","Оценка на съответствието на централата AP1000® със стандартите за безопасност на МААЕ № GSR, Част 3, Радиационна защита и безопасност на източниците на йонизиращи лъчения: Международни основни стандарти за безопасност",5,61,dp
"AP1000 is a trademark or registered trademark of Westinghouse Electric Company LLC, its affiliates and/or its subsidiaries in the United States of America and may be registered in other countries throughout the world. All rights reserved. Unauthorized use is strictly prohibited. Other names may be trademarks of their respective Owners.","AP1000 е търговска марка или регистрирана търговска марка на Westinghouse Electric Company LLC, нейните филиали и/или дъщерни дружества в Съединените американски щати и могат да бъдат регистрирани в други страни по света. Всички права запазени. Неразрешеното използване е строго забранено. Други имена могат да бъдат търговски марки на съответните им собственици.","AP1000 е търговска марка или регистрирана търговска марка на Уестингхаус Електрик Къмпани ООД, нейни филиали и/или дъщерни дружества в Съединените американски щати и може да бъде регистрирана в други страни по света. Всички права запазени. Неразрешеното използване е строго забранено. Други имена може да са търговски марки на съответните им собственици.",6,62,dp
"This document is the property of and contains Proprietary Information Owned by Westinghouse Electric Company LLC and/or its subcontractors and suppliers. It is transmitted to you in confidence and trust, and you agree to treat this document in strict accordance with the terms and conditions of the agreement under which it was provided to you.","Този документ е собственост на и съдържа Proprietary Information Собственост на Westinghouse Electric Company LLC и/или неговите подизпълнители и доставчици. Той се предава на вас в доверие и доверие, и вие се съгласявате да третирате този документ в строго съответствие с реда и условията на споразумението, по което той е бил предоставен на вас.","Този документ е собственост на и съдържа фирмена информация, принадлежаща на Уестингхаус Електрик Къмпани ООД и/или нейни подизпълнители и доставчици. Тя Ви се предоставя поверително и Вие приемате да използвате настоящия документ в пълно съответствие с разпоредбите и условията на споразумението, по което той Ви е бил предоставен.",7,63,dp
RECORD OF CHANGES,ЗАПИСВАНЕ НА ПРОМЕНИ,СПИСЪК НА ПРОМЕНИТЕ,8,64,dp
Revision,Преразглеждане,Редакция,9,65,dp
Author,Автор,Автор,10,66,dp
Description,Описание,Описание,11,67,dp
Completed,Завършено,Завършено,12,68,dp
A,А,A,13,69,dp
Marcin Fiodorow,Маркин Фьодоров,Марчин Фьодоров,14,70,dp
Original issue,Оригинален брой,Първоначално издание,15,71,dp
See PRIME,Вж. ПРИМ,Вж. PRIME,16,72,dp
OPEN ITEMS,ОТКРИТИ ИНСТРУМЕНТИ,ОТВОРЕНИ ПОЗИЦИИ,17,73,dp
Item,Позиция,Позиция,18,74,dp
Description,Описание,Описание,19,75,dp
Status,Състояние,Състояние,20,76,dp
None,Няма,Няма,21,77,dp
TABLE OF CONTENTS,СЪДЪРЖАНИЕ,СЪДЪРЖАНИЕ,22,78,dp
LIST OF ACRONYMS AND ABBREVIATIONSvii,СПИСЪК НА АКРОНИМИ И АБРУАЦИИ,,23,,dp
EXECUTIVE SUMMARYx,ИЗПЪЛНИТЕЛЕН РЕЗЮМЕС,,24,,dp
1Introduction1-1,1Въвеждане1-1,1Въведение1-1,25,79,dp
1.1Overview and purpose of document1-1,1.1Преглед и цел на документ1-1,1.1Общ преглед и предназначение на документа1-1,26,80,dp
1.1.1Introduction to IAEA safety standards and related publications1-1,1.1.1 Въвеждане на стандартите за безопасност на МААЕ и свързаните с тях публикации1-1,1.1.1Въведение в стандартите за безопасност на МААЕ и свързаните с тях публикации1-1,27,81,dp
1.1.2IAEA Document Compliance Assessment Scope for this document1-2,1.1.2IAEA документ за оценка на съответствието на настоящия документ1-2,1.1.2Обхват на оценката на съответствието на документите на МААЕ за настоящия документ1-2,28,82,dp
1.1.3Other AP1000 Plant Compliance Assessments to IAEA Documentation1-2,1.1.3Други оценки на съответствието на инсталациите с изискванията на AP1000 към документация1-2 на МААЕ,1.1.3Други оценки на съответствието на централата AP1000 с документацията на МААЕ1-2,29,83,dp
1.1.4Structure of this document for compliance assessments1-2,1.1.4Структура на този документ за оценка на съответствието1-2,1.1.4Структура на този документ за оценки на съответствието1-3,30,84,dp
1.2Basis for compliance assessment1-3,1.2База за оценка на съответствието1-3,1.2Основа за оценка на съответствието1-3,31,85,dp
1.3Ap1000 plant description1-3,1.3Ap1000 заводско описание1-3,1.3Описание на централата AP10001-4,32,86,dp
1.3.1Overview1-3,1.3.1Преглед1-3,1.3.1Общ преглед1-4,33,87,dp
1.3.2Facility Design Features for radiation protection1-4,1.3.2Стабилност Дизайн Характеристики за радиационна защита1-4,1.3.2Конструктивни характеристики на съоръженията за радиационна защита1-5,34,88,dp
1.3.3Shielding from radiation effects1-4,1.3.3Широене от радиационни ефекти1-4,1.3.3Екраниране от радиационни въздействия1-5,35,89,dp
1.3.4Ventilation1-5,1.3.4Вентилация1-5,1.3.4Вентилация1-6,36,90,dp
1.4Discussion of Radiation Protection and Safety of Radiation Sources: International Basic Safety Standard in AP1000 Standard Design and Reference Plant1-6,1.4Дискусия на радиационна защита и безопасност на източниците на радиация: Международен основен стандарт за безопасност в AP1000 Стандартен дизайн и еталон Plant1-6,1.4Обсъждане на радиационната защита и безопасността на източниците на йонизиращи лъчения: Международен основен стандарт за безопасност в стандартния проект и референтната централа AP10001-7,37,91,dp
1.5Compliance Assessment Summary of Results1-8,1. 5 Оценка на съответствието Резюме на резултатите1- 8,1.5Резюме на резултатите от оценката на съответствието1-10,38,92,dp
1.6Conclusions1-16,1.6.приключения1-16,1.6Изводи1-20,39,93,dp
1.7Identified Potential Risks To Be Addressed1-2,"1.7 Идентифицирани потенциални рискове, които трябва да бъдат разгледани1-2","1.7Идентифицирани потенциални рискове, които трябва да се адресират1-2",40,94,dp
2Compliance assessment for IAEA Safety Reference levels2-1,2Оценка на съответствието за референтни нива 2—1 на МААЕ за безопасност,2Оценка на съответствието с референтните нива за безопасност на МААЕ2-1,41,95,dp
2.1Compliance assessment Classification Label2-1,2.1 Оценка на съответствието Класификация Label2-1,2.1Оценка на съответствието – класификационен етикет2-1,42,96,dp
2.2General Requirements for Protection and safety2-2,2.2 Общи изисквания за защита и безопасност2-2,2.2Общи изисквания за защита и безопасност2-2,43,97,dp
2.2.1Requirement 1: Application of the principles of radiation protection2-2,2.2.1Изискване 1: Прилагане на принципите на радиационна защита2-2,2.2.1Изискване 1: Прилагане на принципите на радиационната защита2-2,44,98,dp
2.2.2Requirement 2: Establishment Of A Legal And Regulatory Framework2-5,2.2.2Изискване 2: Създаване на правна и регулаторна рамка2-5,2.2.2Изискване 2: Създаване на правна и регулаторна рамка2-6,45,99,dp
2.2.3Requirement 3: Responsibilities of the regulatory body2-10,2.2.3Изискване 3: Отговорности на регулаторния орган2-10,2.2.3Изискване 3: Отговорности на регулаторния орган2-12,46,100,dp
2.2.4Requirement 4: Responsibilities for protection and safety2-13,2.2.4Изисквания 4: Отговорности за защита и безопасност2—13,2.2.4Изискване 4: Отговорности за защита и безопасност2-15,47,101,dp
2.2.5Requirement 5: Management for protection and safety2-16,2.2.5Изискване 5: Управление за защита и безопасност 2-16,2.2.5Изискване 5: Управление за защита и безопасност2-19,48,102,dp
2.3Planned exposure situations2-19,2. 3 Обхванати ситуации на експозиция2-19,2.3Ситуации на планирано облъчване2-22,49,103,dp
2.3.1Requirement 6: Graded approach2-22,2.3.1Изискване 6: Класиран подход2-22,2.3.1Изискване 6: Диференциран подход2-26,50,104,dp
2.3.2Requirement 7: Notification and authorization2-24,23.2Изискване 7: Уведомление и разрешение2—24,2.3.2Изискване 7: Уведомление и официално разрешение2-29,51,105,dp
2.3.3Requirement 8: Exemption and clearance2-26,2.3.3Изискване 8: Освобождаване и разрешение2-26,2.3.3Изискване 8: Освобождаване от регулиране и освобождаване от контрол2-31,52,106,dp
2.3.4Requirement 9: Responsibilities of registrants and licensees in planned exposure situations2-27,2.3.4Изискване 9: Отговорности на регистрантите и лицензополучателите при планирани ситуации на експозиция2-27,2.3.4Изискване 9: Отговорности на регистрирани лица и лицензианти в ситуации на планирано облъчване2-33,53,107,dp
2.3.5Requirement 10: Justification of practices2-29,2.3.5Изискване 10: Обосновка на практики2-29,2.3.5Изискване 10: Обосновка на практическите дейности2-35,54,108,dp
2.3.6Requirement 11: Optimization of protection and safety2-31,2.3.6Изискване 11: Оптимизация на защитата и безопасността2-31,2.3.6Изискване 11: Оптимизация на защитата и безопасността2-38,55,109,dp
2.3.7Requirement 12: Dose limits2-33,2.3.7Изискване 12: Дозови граници2-33,2.3.7Изискване 12: Дозови ограничения2-40,56,110,dp
2.3.8Requirement 13: Safety assessment2-35,2.3.8Изискване 13: Оценка на безопасността2-35,2.3.8Изискване 13: Оценка на безопасността2-42,57,111,dp
2.3.9Requirement 14: Monitoring for verification of compliance2-40,23.9Изискване 14: Мониторинг за проверка на съответствието 2-40,2.3.9Изискване 14: Мониторинг с цел проверка на съответствията2-48,58,112,dp
2.3.10Requirement 15: Prevention and mitigation of accidents2-43,2.3.10Изискване 15: Предотвратяване и смекчаване на произшествия2-43,2.3.10Изискване 15: Предотвратяване и смекчаване на последиците от аварии2-51,59,113,dp
2.3.11Requirement 16: Investigations and feedback of information on operating experience2-49,2.3.11Изискване 16: Изследвания и обратна връзка на информацията за оперативния опит2-49,2.3.11Изискване 16: Разследвания и обратна връзка за информация по експлоатационния опит2-59,60,114,dp
2.3.12Requirement 17: Radiation generators and radioactive sources2-51,2.3.12Изискване 17: Радиационни генератори и радиоактивни източници2-51,2.3.12Изискване 17: Генератори на йонизиращи лъчения и радиоактивни източници2-61,61,115,dp
